@relation 'Speed Dating Data_10-27_updatedfromfieldV1-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,3,6,8,24,27,30,31,32,69-weka.filters.unsupervised.attribute.NumericToNominal-R29-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute gender {0,1}
@attribute condtn {1,2}
@attribute wave {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@attribute round numeric
@attribute position numeric
@attribute order {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@attribute int_corr numeric
@attribute samerace {0,1}
@attribute age_o numeric
@attribute race_o numeric
@attribute pf_o_att numeric
@attribute pf_o_sin numeric
@attribute pf_o_int numeric
@attribute pf_o_fun numeric
@attribute pf_o_amb numeric
@attribute pf_o_sha numeric
@attribute attr_o numeric
@attribute sinc_o numeric
@attribute intel_o numeric
@attribute fun_o numeric
@attribute amb_o numeric
@attribute shar_o numeric
@attribute age numeric
@attribute race {1,2,3,4,6}
@attribute imprace numeric
@attribute imprelig numeric
@attribute from {Chicago,Texas,Miami,'New York',California,'Washington DC',Michigan,Israel,Italy,Philadelphia,Brooklyn,Florida,China,'San Francisco',India,Maryland,Taiwan}
@attribute income numeric
@attribute goal {1,2,3,4,5,6}
@attribute date {1,2,3,4,5,6,7}
@attribute go_out {1,2,3,4,5}
@attribute career {Lawyer,Entrepreneur,'Humanitarian Affairs','Creative Arts',Research,Undecided,'Real Estate ',Doctor,'Psychologist ','Social Work',Architecture,Politics,Other,'Engineer '}
@attribute sports numeric
@attribute tvsports numeric
@attribute exercise numeric
@attribute dining numeric
@attribute museums numeric
@attribute art numeric
@attribute hiking numeric
@attribute gaming numeric
@attribute clubbing numeric
@attribute reading numeric
@attribute tv numeric
@attribute theater numeric
@attribute movies numeric
@attribute concerts numeric
@attribute music numeric
@attribute shopping numeric
@attribute yoga numeric
@attribute exphappy numeric
@attribute attr1_1 numeric
@attribute sinc1_1 numeric
@attribute intel1_1 numeric
@attribute fun1_1 numeric
@attribute amb1_1 numeric
@attribute shar1_1 numeric
@attribute attr2_1 numeric
@attribute sinc2_1 numeric
@attribute intel2_1 numeric
@attribute fun2_1 numeric
@attribute amb2_1 numeric
@attribute shar2_1 numeric
@attribute attr3_1 numeric
@attribute sinc3_1 numeric
@attribute fun3_1 numeric
@attribute intel3_1 numeric
@attribute amb3_1 numeric
@attribute length numeric
@attribute match {0,1}

@data
0,1,1,10,6,1,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
0,1,1,10,6,7,-0.47,1,28,2,50,0,25,10,0,15,7,7,7,10,9,10,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,1
0,1,1,10,6,8,-0.19,1,24,2,100,0,0,0,0,0,7,8,8,7,8,7,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
1,1,1,10,7,7,0.21,0,21,4,15,20,20,15,15,15,5,6,7,7,6,6,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,1
1,1,1,10,3,3,0.32,0,24,2,45,5,25,20,0,5,6,8,7,9,7,8,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,0
1,1,1,10,6,6,0.21,0,23,2,20,20,20,20,10,10,6,9,8,9,8,9,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,0
1,1,1,10,4,4,-0.16,0,21,2,20,5,25,25,10,15,6,7,7,5,4,8,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,0
1,1,1,10,8,8,0.35,0,23,4,10,25,20,25,5,15,5,4,8,8,4,2,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,0
1,1,1,10,5,5,-0.27,0,22,4,15,15,25,20,15,10,4,7,7,4,8,5,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,0
1,1,1,10,10,10,-0.23,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,1
1,1,1,10,1,1,-0.01,0,26,6,20,10,20,30,10,10,5,10,8,8,5,5,24,3,3,1,Miami,36782,1,4,1,Lawyer,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,30,10,20,10,10,20,20,20,20,20,10,10,7,7,7,9,9,2,1
1,1,1,10,3,8,0.07,1,24,2,45,5,25,20,0,5,5,8,7,5,9,5,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,9,4,0.29,1,25,2,35,10,35,10,10,0,7,9,9,8,9,7,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,6,1,0.15,1,23,2,20,20,20,20,10,10,5,9,9,5,9,7,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,4,9,0.07,1,21,2,20,5,25,25,10,15,5,5,7,6,7,5,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,8,3,0.03,0,23,4,10,25,20,25,5,15,4,8,9,2,8,3,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,5,10,0.08,0,22,4,15,15,25,20,15,10,5,7,8,5,9,5,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,10,5,0.17,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,1
1,1,1,10,1,6,0.1,0,26,6,20,10,20,30,10,10,6,7,8,7,9,6,27,2,8,8,'New York',52010,1,6,1,Entrepreneur,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,33.33,11.11,11.11,11.11,11.11,22.22,10,10,20,25,25,10,6,8,6,8,9,2,0
1,1,1,10,7,8,0.28,0,21,4,15,20,20,15,15,15,7,6,8,9,8,8,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,3,4,0.11,1,24,2,45,5,25,20,0,5,7,6,8,9,4,5,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,9,10,-0.15,1,25,2,35,10,35,10,10,0,9,9,9,9,9,9,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,0
1,1,1,10,6,7,-0.47,1,23,2,20,20,20,20,10,10,9,8,10,10,7,8,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,4,5,-0.13,1,21,2,20,5,25,25,10,15,7,5,7,8,7,9,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,8,9,0.46,0,23,4,10,25,20,25,5,15,7,6,8,8,6,9,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,5,6,-0.34,0,22,4,15,15,25,20,15,10,6,6,8,8,8,6,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,10,1,-0.47,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,1,2,-0.35,0,26,6,20,10,20,30,10,10,8,5,5,6,5,5,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,2,3,0.49,1,26,2,15,15,15,40,10,5,9,9,9,9,9,9,28,2,1,1,California,?,4,1,1,Entrepreneur,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10,?,1
1,1,1,10,7,9,-0.36,0,21,4,15,20,20,15,15,15,5,6,6,8,10,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,3,5,0.39,1,24,2,45,5,25,20,0,5,6,7,8,7,9,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,9,1,-0.47,1,25,2,35,10,35,10,10,0,8,7,9,7,9,7,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,6,8,-0.19,1,23,2,20,20,20,20,10,10,8,9,10,10,8,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,4,6,-0.06,1,21,2,20,5,25,25,10,15,9,6,7,9,6,5,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,8,10,0.43,0,23,4,10,25,20,25,5,15,8,9,9,9,10,7,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,5,7,-0.16,0,22,4,15,15,25,20,15,10,8,6,7,7,8,6,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,10,2,-0.21,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,7,6,8,7,9,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,1
1,1,1,10,1,3,-0.23,0,26,6,20,10,20,30,10,10,7,8,7,8,7,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
1,1,1,10,2,4,0.08,1,26,2,15,15,15,40,10,5,9,9,8,10,8,8,24,2,1,1,'Washington DC',?,1,1,1,Entrepreneur,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10,?,0
0,2,2,16,10,11,-0.31,0,25,4,25,20,25,20,10,0,5,10,9,9,8,5,27,2,2,3,'New York',43185,2,6,4,'Humanitarian Affairs',10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8,3,0
0,2,2,16,10,16,-0.32,1,24,2,25,35,30,10,0,0,5,5,6,4,7,2,27,2,2,3,'New York',43185,2,6,4,'Humanitarian Affairs',10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8,3,0
0,2,2,16,10,10,0.24,1,26,2,20,35,20,10,10,5,7,8,8,8,7,9,27,2,2,3,'New York',43185,2,6,4,'Humanitarian Affairs',10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8,3,0
0,2,2,16,10,1,0.04,1,30,2,20,20,25,25,5,5,6,6,6,5,6,4,27,2,2,3,'New York',43185,2,6,4,'Humanitarian Affairs',10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8,3,0
0,2,2,16,10,2,-0.07,1,23,2,25,10,35,15,0,15,7,5,7,6,6,6,27,2,2,3,'New York',43185,2,6,4,'Humanitarian Affairs',10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8,3,0
0,2,2,16,13,14,-0.38,0,25,4,25,20,25,20,10,0,8,9,9,8,7,4,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,3,-0.02,1,24,2,25,35,30,10,0,0,6,5,7,5,5,2,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,7,0.46,1,24,2,25,15,25,25,15,15,8,7,7,8,7,7,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,10,-0.06,1,28,2,25,15,25,15,0,20,7,6,8,7,6,7,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,13,0.22,1,26,2,20,35,20,10,10,5,10,9,9,10,7,8,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,4,-0.05,1,30,2,20,20,25,25,5,5,5,6,6,6,6,6,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,11,0.02,0,25,4,20,20,20,20,5,15,9,8,7,7,7,8,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,5,0.05,1,23,2,25,10,35,15,0,15,7,3,5,5,3,2,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,6,0.06,1,21,2,15,20,15,30,5,15,8,7,7,7,6,6,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,1,0.08,1,28,2,40,15,20,10,5,10,9,9,9,9,8,8,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,2,0.16,1,28,2,40,20,20,20,0,0,8,8,7,8,7,6,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,13,9,0.03,0,23,1,20,25,25,10,10,10,8,9,8,9,9,8,23,2,2,4,California,43664,1,5,2,'Humanitarian Affairs',9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8,?,0
0,2,2,16,9,15,0.31,1,24,2,25,35,30,10,0,0,4,4,5,4,6,5,22,2,4,5,'Washington DC',61152,1,6,1,'Humanitarian Affairs',8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8,3,0
0,2,2,16,9,3,-0.41,1,24,2,25,15,25,25,15,15,7,6,7,6,7,5,22,2,4,5,'Washington DC',61152,1,6,1,'Humanitarian Affairs',8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8,3,1
0,2,2,16,9,6,0.08,1,28,2,25,15,25,15,0,20,8,8,6,7,6,6,22,2,4,5,'Washington DC',61152,1,6,1,'Humanitarian Affairs',8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8,3,1
0,2,2,16,9,4,0.11,1,22,2,30,15,25,25,5,0,6,8,9,5,9,3,22,2,4,5,'Washington DC',61152,1,6,1,'Humanitarian Affairs',8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8,3,0
